context,question,answer,start,end
A man in a brown shirt standing behind a bar pouring a drink from a metal shaker .,What is someone pouring?,a drink,11,12
A man in a brown shirt standing behind a bar pouring a drink from a metal shaker .,Where is something being poured?,from a metal shaker,13,16
A man in a brown shirt standing behind a bar pouring a drink from a metal shaker .,What is something being poured from?,a metal shaker,14,16
A man plugs his nose while trying something with an obvious pungent odor as his female friends laughs it on .,Who plugs something?,A man,0,1
A man plugs his nose while trying something with an obvious pungent odor as his female friends laughs it on .,What does someone plug?,his nose,3,4
A man plugs his nose while trying something with an obvious pungent odor as his female friends laughs it on .,When does someone plug something?,while trying something with an obvious pungent odor,5,12
A man plugs his nose while trying something with an obvious pungent odor as his female friends laughs it on .,Who is trying something?,A man,0,1
A man plugs his nose while trying something with an obvious pungent odor as his female friends laughs it on .,What is someone trying?,something with an obvious pungent odor,7,12
A man plugs his nose while trying something with an obvious pungent odor as his female friends laughs it on .,When is someone trying something?,as his female friends laughs it on,13,19
A man plugs his nose while trying something with an obvious pungent odor as his female friends laughs it on .,Who laughs something?,his female friends,14,16
A man plugs his nose while trying something with an obvious pungent odor as his female friends laughs it on .,What does someone laugh?,it,18,18
a basketball player is making a jamming the ball in the basket,Who is making something?,a basketball player,0,2
a basketball player is making a jamming the ball in the basket,What is someone making?,a jamming the ball in the basket,5,11
"Race car flies by , in the lead of the pack , closely followed by second and third places !",What flies?,Race car,0,1
"Race car flies by , in the lead of the pack , closely followed by second and third places !",Where does something fly?,in the lead of the pack,5,10
"Race car flies by , in the lead of the pack , closely followed by second and third places !",How is something followed?,closely,12,12
"Race car flies by , in the lead of the pack , closely followed by second and third places !",What is something followed by?,second and third places,15,18
A man is pouring grain from a sifter onto a very colorful blanket .,Who is pouring something?,A man,0,1
A man is pouring grain from a sifter onto a very colorful blanket .,What is someone pouring?,grain,4,4
A man is pouring grain from a sifter onto a very colorful blanket .,Where is something poured from?,from a sifter,5,7
A man is pouring grain from a sifter onto a very colorful blanket .,What is someone pouring something from?,a sifter,6,7
A man is pouring grain from a sifter onto a very colorful blanket .,Where is someone pouring something?,onto a very colorful blanket,8,12
A motorcycle racer takes a tumble while two competitors come racing up quickly from behind .,Who takes something?,A motorcycle racer,0,2
A motorcycle racer takes a tumble while two competitors come racing up quickly from behind .,What does someone take?,a tumble,4,5
A motorcycle racer takes a tumble while two competitors come racing up quickly from behind .,When does someone take something?,while two competitors come racing up quickly from behind,6,14
A motorcycle racer takes a tumble while two competitors come racing up quickly from behind .,Who comes doing something?,two competitors,7,8
A motorcycle racer takes a tumble while two competitors come racing up quickly from behind .,What does someone come?,racing up quickly from behind,10,14
A motorcycle racer takes a tumble while two competitors come racing up quickly from behind .,Who is racing somewhere?,two competitors,7,8
A motorcycle racer takes a tumble while two competitors come racing up quickly from behind .,How is someone racing somewhere?,quickly,12,12
A motorcycle racer takes a tumble while two competitors come racing up quickly from behind .,Where is someone racing?,from behind,13,14
A bull is bucking off a rider who is wearing a pink shirt and chaps .,What is bucking up something?,A bull,0,1
A bull is bucking off a rider who is wearing a pink shirt and chaps .,What is bucking up?,a rider,5,6
A bull is bucking off a rider who is wearing a pink shirt and chaps .,Who is wearing something?,a rider,5,6
A bull is bucking off a rider who is wearing a pink shirt and chaps .,What is someone wearing?,a pink shirt and chaps,10,14
An Asian man is going over some paperwork that is sitting on a table with a pink carnation to two other men and a woman all of which are wearing glasses .,Who is going?,An Asian man,0,2
An Asian man is going over some paperwork that is sitting on a table with a pink carnation to two other men and a woman all of which are wearing glasses .,What is someone going into?,some paperwork,6,7
An Asian man is going over some paperwork that is sitting on a table with a pink carnation to two other men and a woman all of which are wearing glasses .,What is sitting?,some paperwork,6,7
An Asian man is going over some paperwork that is sitting on a table with a pink carnation to two other men and a woman all of which are wearing glasses .,Where is something sitting?,on a table,11,13
